    time          tnp
1996.443969726562   0.26190585
1996.446655273438   0.22480148
1996.449462890625   0.14459102
1996.452148437500   0.09925587
1996.454833984375   0.10237580
1996.457641601562   0.13168654
1996.460327148438   0.16358429
1996.463134765625   0.14375106
1996.465820312500   0.02685251
1996.468505859375  -0.02374887
1996.471313476562   0.01178063
1996.473999023438   0.16345556
1996.476806640625   0.21182229
1996.479492187500   0.21448912
1996.482177734375   0.31284010
1996.484985351562   0.44011149
1996.487670898438   0.45122844
1996.490356445312   0.50251704
1996.493164062500   0.58915120
1996.495849609375   0.66596222
1996.498657226562   0.65515453
1996.501342773438   0.54816687
1996.504028320312   0.47319907
1996.506835937500   0.49116069
1996.509521484375   0.49647677
1996.512329101562   0.44916412
1996.515014648438   0.40338641
1996.517700195312   0.45536110
1996.520507812500   0.47259742
1996.523193359375   0.55858362
1996.525878906250   1.16293144
1996.528686523438   0.58432239
1996.531372070312   0.67700684
1996.534179687500   0.81006700
1996.536865234375   0.89013922
1996.539550781250   0.85974103
1996.542358398438   0.76682383
1996.545043945312   0.68913579
1996.547851562500   0.70963717
1996.550537109375   0.73464429
1996.553222656250   0.69789541
1996.556030273438   0.68579632
1996.558715820312   0.62895924
1996.561401367188   0.55004597
1996.564208984375   0.39566678
1996.566894531250   0.28420746
1996.569702148438   0.20849194
1996.572387695312   0.10977024
1996.575073242188   0.08732810
1996.577880859375   0.16395546
1996.580566406250   0.25798145
1996.583251953125   0.32319650
1996.586059570312   0.41679114
1996.588745117188   0.45762309
1996.591552734375   0.47615799
1996.594238281250   0.41035938
1996.596923828125   0.35608235
1996.599731445312   0.19281402
1996.602416992188   0.19491473
1996.605224609375   0.29746833
1996.607910156250   0.40089759
1996.610595703125   0.52560419
1996.613403320312   0.69160342
1996.616088867188   0.81720740
1996.618774414062   0.91876668
1996.621582031250   1.02333200
1996.624267578125   1.01751482
1996.627075195312   0.97769153
1996.629760742188   0.87482512
1996.632446289062   0.77178568
1996.635253906250   0.71574324
1996.637939453125   0.74623835
1996.640747070312   0.69311738
1996.643432617188   0.57139146
1996.646118164062   0.45703095
1996.648925781250   0.36118594
1996.651611328125   0.42390841
1996.654296875000   0.50123441
1996.657104492188   0.51604116
1996.659790039062   0.66429383
1996.662597656250   0.58395368
1996.665283203125   0.43144426
1996.667968750000   0.31405947
1996.670776367188   0.11353393
1996.673461914062   0.10214651
1996.676147460938   0.05145211
1996.678955078125  -0.01979784
1996.681640625000   0.00379376
1996.684448242188   0.02709399
1996.687133789062   0.06469365
1996.689819335938   0.11320231
1996.692626953125   0.17265368
1996.695312500000   0.09895386
1996.698120117188   0.13989490
1996.700805664062   0.14449324
1996.703491210938   0.08956924
1996.706298828125  -0.03489266
1996.708984375000  -0.37947652
1996.711669921875  -0.71812022
1996.714477539062  -0.86782658
1996.717163085938  -0.91606039
1996.719970703125  -0.89456815
1996.722656250000  -0.89663827
1996.725341796875  -1.01983225
1996.728149414062  -1.04855287
1996.730834960938  -0.95521474
1996.733642578125  -0.84328109
1996.736328125000  -0.80262512
1996.739013671875  -0.83085412
1996.741821289062  -0.92078233
1996.744506835938  -0.99055630
1996.747192382812  -0.90879095
1996.750000000000  -0.67485392
1996.752685546875  -0.47040594
1996.755493164062  -0.43609163
1996.758178710938  -0.56990063
1996.760864257812  -0.68651438
1996.763671875000  -0.84836847
1996.766357421875  -1.04052484
1996.769042968750  -1.21136463
1996.771850585938  -1.17714453
1996.774536132812  -1.01722205
1996.777343750000  -0.91821158
1996.780029296875  -0.85811371
1996.782714843750  -1.00228071
1996.785522460938  -1.18479431
1996.788208007812  -1.46860957
1996.791015625000  -1.65860355
1996.793701171875  -1.82827783
1996.796386718750  -1.97111726
1996.799194335938  -2.16502452
1996.801879882812  -2.30311728
1996.804565429688  -2.25831437
1996.807373046875  -1.92440009
1996.810058593750  -1.58968806
1996.812866210938  -1.24677801
1996.815551757812  -1.10654247
1996.818237304688  -0.39124581
1996.821044921875  -0.01644208
1996.823730468750   1.47554469
1996.826538085938   2.21010542
1996.829223632812   1.50225914
1996.831909179688   2.78851748
1996.834716796875   3.09976888
1996.837402343750   3.27871418
1996.840087890625   3.45198107
1996.842895507812   3.58078098
1996.845581054688   3.61051822
1996.848388671875   3.58242178
1996.851074218750   3.14520168
1996.853759765625   2.18486643
1996.856567382812   0.93007827
1996.859252929688  -0.02234239
1996.861938476562  -0.70736641
1996.864746093750  -1.02528572
1996.867431640625  -1.00322866
1996.870239257812  -0.70006341
1996.872924804688  -0.67886734
1996.875610351562  -1.31835508
1996.878417968750  -1.80627477
1996.881103515625   0.67057145
1996.883911132812   4.48204851
1996.886596679688   5.83249331
1996.889282226562   6.22869492
1996.892089843750   5.69171953
1996.894775390625   5.11745548
1996.897460937500   5.33329725
1996.900268554688   5.88975048
1996.902954101562   6.64242983
1996.905761718750   6.38472223
1996.908447265625   5.91224098
1996.911132812500   5.35377550
1996.913940429688   5.06286621
1996.916625976562   4.87544298
1996.919433593750   5.21369219
1996.922119140625   5.44530249
1996.924804687500   5.75215387
1996.927612304688   6.37341833
1996.930297851562   7.71136618
1996.932983398438   8.13169670
1996.935791015625   7.53118420
1996.938476562500   5.54541779
1996.941284179688   4.67566252
1996.943969726562   4.99873590
1996.946655273438   5.48635483
1996.949462890625   4.94168091
1996.952148437500   5.18016863
1996.954833984375   4.89217091
1996.957641601562   3.98455715
1996.960327148438   2.27640390
1996.963134765625   0.60724556
1996.965820312500  -0.76813149
1996.968505859375  -2.35323358
1996.971313476562  -1.76671326
1996.973999023438  -3.69357681
1996.976806640625  -4.17886877
1996.979492187500  -5.75357914
1996.982177734375  -3.44105864
1996.984985351562  -3.68423915
1996.987670898438  -3.83968282
1996.990356445312  -3.96765852
1996.993164062500  -4.09425974
1996.995849609375  -4.30050278
1996.998657226562  -5.16356564
1997.001342773438  -6.94763994
1997.004028320312  -7.57214260
1997.006835937500  -8.20571423
1997.009521484375  -8.72170353
1997.012329101562  -9.28169346
1997.015014648438  -9.99960899
1997.017822265625 -10.39963627
1997.020507812500 -10.47769356
1997.023315429688 -10.61213017
1997.026000976562 -10.76656342
1997.028686523438 -10.53620243
1997.031494140625  -9.83884048
1997.034179687500  -7.49070215
1997.036987304688  -4.97030687
1997.039672851562  -3.70386624
1997.042480468750  -3.01744699
1997.045166015625  -1.96855712
1997.047973632812  -2.06273699
1997.050659179688  -3.50840831
1997.053344726562  -5.19797993
1997.056152343750  -6.82432079
1997.058837890625  -6.63058853
1997.061645507812  -8.06895351
1997.064331054688  -8.43004036
1997.067138671875  -7.63872004
