    time          teq
1990.768432617188  -0.17328192
1990.771240234375  -0.18403943
1990.773925781250  -0.12686852
1990.776733398438  -0.01599444
1990.779418945312   0.07628619
1990.782104492188   0.12851647
1990.784912109375   0.22621526
1990.787597656250   0.26220381
1990.790405273438   0.31764603
1990.793090820312   0.35032082
1990.795898437500   0.36437228
1990.798583984375   0.41314495
1990.801391601562   0.45751604
1990.804077148438   0.49653113
1990.806762695312   0.51195925
1990.809570312500   0.46826038
1990.812255859375   0.38423008
1990.815063476562   0.29600987
1990.817749023438   0.26681888
1990.820556640625   0.27772990
1990.823242187500   0.25898618
1990.826049804688   0.24843512
1990.828735351562   0.27769205
1990.831420898438   0.27816612
1990.834228515625   0.34994021
1990.836914062500   0.45902717
1990.839721679688   0.52063251
1990.842407226562   0.49397132
1990.845214843750   0.39319396
1990.847900390625   0.29326960
1990.850708007812   0.19973290
1990.853393554688   0.15589499
1990.856079101562   0.13984935
1990.858886718750   0.16545306
1990.861572265625   0.25071836
1990.864379882812   0.31965032
1990.867065429688   0.43837416
1990.869873046875   0.49884784
1990.872558593750   0.55078048
1990.875366210938   0.54948938
1990.878051757812   0.55166340
1990.880737304688   0.55847132
1990.883544921875   0.52234304
1990.886230468750   0.49110019
1990.889038085938   0.45972359
1990.891723632812   0.41740140
1990.894531250000   0.37365776
1990.897216796875   0.35635969
1990.900024414062   0.32240352
1990.902709960938   0.29962531
1990.905395507812   0.27218956
1990.908203125000   0.26971856
1990.910888671875   0.33836773
1990.913696289062   0.37043592
1990.916381835938   0.44958168
1990.919189453125   0.57817817
1990.921875000000   0.69708252
1990.924682617188   0.79878438
1990.927368164062   0.92757481
1990.930053710938   0.99800074
1990.932861328125   1.08641768
1990.935546875000   1.12963462
1990.938354492188   1.19364250
1990.941040039062   1.20817959
1990.943847656250   1.20245469
1990.946533203125   1.11319065
1990.949340820312   1.03190827
1990.952026367188   0.90314263
1990.954711914062   0.69578177
1990.957519531250   0.46150014
1990.960205078125   0.21415718
1990.963012695312   0.03398168
1990.965698242188  -0.10736953
1990.968505859375  -0.24654534
1990.971191406250  -0.36091098
1990.973999023438  -0.35853523
1990.976684570312  -0.24644579
1990.979370117188  -0.13238405
1990.982177734375   0.08514122
1990.984863281250   0.23965883
1990.987670898438   0.33703515
1990.990356445312   0.25447983
1990.993164062500   0.14823869
1990.995849609375   0.02032723
1990.998657226562  -0.07218908
1991.001342773438   0.03550039
1991.004028320312  -0.07369654
1991.006835937500  -0.22167023
1991.009521484375  -0.47369900
1991.012329101562  -0.74118602
1991.015014648438  -0.99683571
1991.017822265625  -1.22680640
1991.020507812500  -1.41394103
1991.023315429688  -1.62859988
1991.026000976562  -1.71467865
1991.028686523438  -1.62311792
1991.031494140625  -1.58953798
1991.034179687500  -1.59048271
1991.036987304688  -1.53982294
1991.039672851562  -1.40957391
1991.042480468750  -1.30256259
1991.045166015625  -1.29804313
1991.047973632812  -1.39898396
1991.050659179688  -1.57126391
1991.053344726562  -1.79104102
1991.056152343750  -1.97836268
1991.058837890625  -2.00022006
1991.061645507812  -2.00562930
1991.064331054688  -2.05551219
1991.067138671875  -2.23436379
1991.069824218750  -2.46786499
1991.072631835938  -2.60716724
1991.075317382812  -2.75239849
1991.078002929688  -2.74955869
1991.080810546875  -2.64599347
1991.083496093750  -2.44539595
1991.086303710938  -2.21227527
1991.088989257812  -2.09714985
1991.091796875000  -1.95780408
1991.094482421875  -1.95536041
1991.097290039062  -1.94923151
1991.099975585938  -1.86617398
1991.102661132812  -1.87122834
1991.105468750000  -1.83733821
1991.108154296875  -1.81208718
1991.110961914062  -1.74472868
1991.113647460938  -1.63524783
1991.116455078125  -1.54450703
1991.119140625000  -1.37249625
1991.121948242188  -1.20045042
1991.124633789062  -1.04702711
1991.127319335938  -0.97933424
1991.130126953125  -0.92408210
1991.132812500000  -0.97324193
1991.135620117188  -1.08487391
1991.138305664062  -1.25100815
1991.141113281250  -1.37213087
1991.143798828125  -1.38962913
1991.146606445312  -1.37660956
1991.149291992188  -1.33972752
1991.151977539062  -1.20092189
1991.154785156250  -1.06420422
1991.157470703125  -0.88439262
1991.160278320312  -0.73258674
1991.162963867188  -0.64682895
1991.165771484375  -0.57961243
1991.168457031250  -0.60335207
1991.171264648438  -0.60756111
1991.173950195312  -0.59463865
1991.176635742188  -0.64533591
1991.179443359375  -0.71330613
1991.182128906250  -0.81051379
1991.184936523438  -0.93909019
1991.187622070312  -1.04586720
1991.190429687500  -1.14272356
1991.193115234375  -1.24885631
1991.195922851562  -1.40282512
1991.198608398438  -1.53867173
1991.201293945312  -1.62862027
1991.204101562500  -1.70676792
1991.206787109375  -1.76697481
1991.209594726562  -1.80164111
1991.212280273438  -1.81213629
1991.215087890625  -1.79788053
1991.217773437500  -1.79781401
1991.220581054688  -1.77909768
1991.223266601562  -1.73080218
1991.225952148438  -1.74283719
1991.228759765625  -1.74209368
1991.231445312500  -1.69323647
1991.234252929688  -1.70642281
1991.236938476562  -1.76685524
1991.239746093750  -1.82255769
1991.242431640625  -1.86467671
1991.245239257812  -1.86889863
1991.247924804688  -1.90493679
1991.250610351562  -1.90635896
1991.253417968750  -1.96188390
1991.256103515625  -2.01890850
1991.258911132812  -2.04417276
1991.261596679688  -2.03396249
1991.264404296875  -1.96826208
1991.267089843750  -1.91423452
1991.269775390625  -1.87957680
1991.272583007812  -1.78288031
1991.275268554688  -1.69267774
1991.278076171875  -1.62086356
1991.280761718750  -1.54905045
1991.283569335938  -1.51231468
1991.286254882812  -1.41670489
1991.289062500000  -1.29500675
1991.291748046875  -1.20160234
1991.294433593750  -1.19737935
1991.297241210938  -1.17501962
1991.299926757812  -1.18769610
1991.302734375000  -1.19633842
1991.305419921875  -1.19980383
1991.308227539062  -1.24968302
1991.310913085938  -1.27951539
1991.313720703125  -1.31635821
1991.316406250000  -1.30525374
1991.319091796875  -1.30508089
1991.321899414062  -1.30922270
1991.324584960938  -1.30176806
1991.327392578125  -1.32871163
1991.330078125000  -1.30360842
1991.332885742188  -1.33134341
1991.335571289062  -1.33163571
1991.338378906250  -1.35866654
1991.341064453125  -1.37116766
1991.343750000000  -1.43112290
1991.346557617188  -1.48568273
1991.349243164062  -1.52087188
1991.352050781250  -1.54689801
1991.354736328125  -1.52148378
1991.357543945312  -1.49050069
1991.360229492188  -1.41252208
1991.363037109375  -1.32120574
1991.365722656250  -1.29152703
1991.368408203125  -1.25010824
1991.371215820312  -1.22147226
1991.373901367188  -1.12243068
1991.376708984375  -0.99298954
1991.379394531250  -0.91152751
1991.382202148438  -0.86429864
1991.384887695312  -0.86278278
1991.387695312500  -0.83730966
1991.390380859375  -0.77613443
1991.393066406250  -0.74512851
1991.395874023438  -0.70234060
1991.398559570312  -0.68263775
1991.401367187500  -0.61106098
1991.404052734375  -0.64704728
1991.406860351562  -0.64359856
1991.409545898438  -0.72658241
1991.412353515625  -0.69891977
1991.415039062500  -0.66973078
1991.417724609375  -0.66116208
1991.420532226562  -0.74097216
1991.423217773438  -0.79322463
1991.426025390625  -0.79231477
1991.428710937500  -0.74748957
1991.431518554688  -0.72510433
1991.434204101562  -0.77936149
1991.437011718750  -0.85847580
1991.439697265625  -0.95471698
1991.442382812500  -1.05089152
1991.445190429688  -1.10383689
1991.447875976562  -1.17524672
1991.450683593750  -1.17417812
1991.453369140625  -1.11033523
1991.456176757812  -0.96652251
1991.458862304688  -0.82855207
1991.461669921875  -0.69200909
1991.464355468750  -0.66135645
1991.467041015625  -0.60200942
1991.469848632812  -0.58039242
1991.472534179688  -0.63745236
1991.475341796875  -0.72520697
1991.478027343750  -0.79373914
1991.480834960938  -0.93505979
1991.483520507812  -1.12970543
1991.486328125000  -1.21027243
1991.489013671875  -1.25820255
1991.491699218750  -1.21958578
1991.494506835938  -1.14282465
1991.497192382812  -1.00243247
1991.500000000000  -0.87267244
1991.502685546875  -0.76386380
1991.505493164062  -0.65313762
1991.508178710938  -0.55874938
1991.510986328125  -0.51231736
1991.513671875000  -0.40624636
1991.516357421875  -0.31586802
1991.519165039062  -0.23130031
1991.521850585938  -0.18660672
1991.524658203125  -0.10383379
1991.527343750000  -0.01670965
1991.530151367188  -0.03092818
1991.532836914062  -0.07568514
1991.535644531250  -0.10862952
1991.538330078125  -0.08032624
1991.541015625000   0.04133532
1991.543823242188   0.18326859
1991.546508789062   0.30791810
1991.549316406250   0.35097754
1991.552001953125   0.32942927
1991.554809570312   0.37067920
1991.557495117188   0.39876762
1991.560302734375   0.53244281
1991.562988281250   0.63852227
1991.565673828125   0.67861813
1991.568481445312   0.68081707
1991.571166992188   0.65969110
1991.573974609375   0.55160570
1991.576660156250   0.37965298
1991.579467773438   0.32100099
1991.582153320312   0.33886462
1991.584960937500   0.44349036
1991.587646484375   0.51376307
1991.590332031250   0.56339961
1991.593139648438   0.64690477
1991.595825195312   0.72997236
1991.598632812500   0.84517610
1991.601318359375   0.94116378
1991.604125976562   1.05235744
1991.606811523438   1.12963533
1991.609619140625   1.17674291
1991.612304687500   1.15605927
1991.614990234375   1.14551508
1991.617797851562   1.02223539
1991.620483398438   1.00651455
1991.623291015625   1.03550792
1991.625976562500   1.12187541
1991.628784179688   1.20379198
1991.631469726562   1.29180610
1991.634277343750   1.41397059
1991.636962890625   1.51768959
1991.639648437500   1.56531966
1991.642456054688   1.61332071
1991.645141601562   1.69438159
1991.647949218750   1.75748467
1991.650634765625   1.78267682
1991.653442382812   1.79595327
1991.656127929688   1.82617748
1991.658935546875   1.86083722
1991.661621093750   1.90318918
1991.664306640625   1.86509061
1991.667114257812   1.80504024
1991.669799804688   1.75125659
1991.672607421875   1.78721619
1991.675292968750   1.81082833
1991.678100585938   1.79334986
1991.680786132812   1.75172746
1991.683593750000   1.76401651
1991.686279296875   1.77414131
1991.688964843750   1.77061152
1991.691772460938   1.76963198
1991.694458007812   1.74492288
1991.697265625000   1.68176854
1991.699951171875   1.59298801
1991.702758789062   1.56221366
1991.705444335938   1.50015724
1991.708251953125   1.41187561
1991.710937500000   1.42268908
1991.713623046875   1.55797756
1991.716430664062   1.75224435
1991.719116210938   1.90744984
1991.721923828125   1.95392168
1991.724609375000   1.96336567
1991.727416992188   1.86594677
1991.730102539062   1.77798176
1991.732910156250   1.72919142
1991.735595703125   1.79923832
1991.738281250000   1.97709846
1991.741088867188   2.19415855
1991.743774414062   2.37905145
1991.746582031250   2.55933619
1991.749267578125   2.69591522
1991.752075195312   2.80443144
1991.754760742188   2.93529868
1991.757446289062   3.02389526
1991.760253906250   2.97538424
1991.762939453125   2.82990336
1991.765747070312   2.67338252
1991.768432617188   2.51100779
1991.771240234375   2.31839967
1991.773925781250   2.07341337
1991.776733398438   2.00034881
1991.779418945312   2.09518194
1991.782104492188   2.24287724
1991.784912109375   2.32844257
1991.787597656250   2.41536975
1991.790405273438   2.51459050
1991.793090820312   2.57757235
1991.795898437500   2.65201259
1991.798583984375   2.75717902
1991.801391601562   2.87441635
1991.804077148438   2.94167924
1991.806762695312   2.92555189
1991.809570312500   2.76610541
1991.812255859375   2.55377674
1991.815063476562   2.33702755
1991.817749023438   2.20503664
1991.820556640625   2.07737899
1991.823242187500   1.99627495
1991.826049804688   1.96818113
1991.828735351562   1.96489334
1991.831420898438   1.88370824
1991.834228515625   1.78114772
1991.836914062500   1.70680821
1991.839721679688   1.73725116
1991.842407226562   1.73427212
1991.845214843750   1.69280958
1991.847900390625   1.69607294
1991.850708007812   1.78696120
1991.853393554688   1.91153848
1991.856079101562   2.07601857
1991.858886718750   2.22704268
1991.861572265625   2.39086914
1991.864379882812   2.49305201
1991.867065429688   2.58350945
1991.869873046875   2.63005710
1991.872558593750   2.70902109
1991.875366210938   2.70309973
1991.878051757812   2.69073772
1991.880737304688   2.64369798
1991.883544921875   2.61701941
1991.886230468750   2.56062126
1991.889038085938   2.54314947
1991.891723632812   2.47441339
1991.894531250000   2.37938786
1991.897216796875   2.27713180
1991.900024414062   2.17813659
1991.902709960938   2.15145659
1991.905395507812   2.01596999
1991.908203125000   1.94962573
1991.910888671875   1.92615676
1991.913696289062   1.96308815
1991.916381835938   2.08219051
1991.919189453125   2.15967917
1991.921875000000   2.24779654
1991.924682617188   2.32505774
1991.927368164062   2.36097360
1991.930053710938   2.30277753
1991.932861328125   2.20489883
1991.935546875000   2.14233756
1991.938354492188   2.16050410
1991.941040039062   2.22356105
1991.943847656250   2.24620986
1991.946533203125   2.22939301
